ç,,,,,
Município,ibge,latitude,longitude,IMERS/IQA/IQA 2022 (-),IMERS/IQA/IQA 2023 (-)
Cristal,4306056,"-30,999345","-52,04941","66,44444","81,81391"
Cristal do Sul,4306072,"-27,45363","-53,249184","68,57143","69,17204"
Cruz Alta,4306106,"-28,642447","-53,605241","55,35604","69,08878"
Cruzaltense,4306130,"-27,664888","-52,648143","78,57143","55,21346"
Cruzeiro do Sul,4306205,"-29,508291","-51,991576","71,08911","73,24608"
David Canabarro,4306304,"-28,384612","-51,852249","62,45255","65,86882"
Derrubadas,4306320,"-27,265391","-53,865119","78,66667","31,58426"
Dezesseis de Novembro,4306353,"-28,226876","-55,048209","62,45255","65,86882"
Dilermando de Aguiar,4306379,"-29,701964","-54,21356","48,88889","72,8651"
Dois Irmãos,4306403,"-29,584159","-51,087619","65,48701","71,46612"
Dois Irmãos das Missões,4306429,"-27,657537","-53,530865","91,42857","68,32532"
Dois Lajeados,4306452,"-28,975205","-51,835103","89,09091","89,09091"
Dom Feliciano,4306502,"-30,708598","-52,103934","38,9916","66,39405"
Dom Pedrito,4306601,"-30,981267","-54,67413","52,21757","44,77366"
Dom Pedro de Alcântara,4306551,"-29,370187","-49,84955","63,88889","77,37719"
Dona Francisca,4306700,"-29,624852","-53,362333","62,45255","67,03701"
Doutor Maurício Cardoso,4306734,"-27,509213","-54,358268","78,22222","61,63323"
Doutor Ricardo,4306759,"-29,099031","-51,984904","62,45255","65,86882"
Eldorado do Sul,4306767,"-29,999293","-51,310419","40,54435","70,19237"
Encantado,4306809,"-29,239917","-51,873023","70,76336","70,76336"
Encruzilhada do Sul,4306908,"-30,543657","-52,522045","52,56","66,65212"
Engenho Velho,4306924,"-27,708587","-52,911921",56,"69,80131"
Entre Rios do Sul,4306957,"-27,528858","-52,735068","68,75","42,9275"
Entre-ijuís,4306932,"-28,362794","-54,271432","71,73913","22,58767"
Erebango,4306973,"-27,849196","-52,299711","82,5","44,0422"
Erechim,4307005,"-27,633406","-52,275877","65,83099","61,09923"
Ernestina,4307054,"-28,497155","-52,572176","43,78378","71,4236"
Erval Grande,4307203,"-27,393337","-52,570112","74,04255","76,15152"
Erval Seco,4307302,"-27,549417","-53,509573","65,13889","73,10585"
Esmeralda,4307401,"-28,057276","-51,188794","54,46809","73,88364"
Esperança do Sul,4307450,"-27,359944","-53,992768","67,65957","80,79792"
Espumoso,4307500,"-28,731445","-52,841927","51,05263","49,88396"
Estação,4307559,"-27,909006","-52,270486","83,67647","60,47867"
Estância Velha,4307609,"-29,650148","-51,174294","57,12909","62,39198"
Esteio,4307708,"-29,852186","-51,143837","54,19192","66,61444"
Estrela,4307807,"-29,503472","-51,97026","58,51852","66,48381"
Estrela Velha,4307815,"-29,179661","-53,160294","76,66667","63,10365"
Eugênio de Castro,4307831,"-28,52506","-54,148113","58,57143","65,9825"
Fagundes Varela,4307864,"-28,882134","-51,691449","94,70588","65,70606"
Farroupilha,4307906,"-29,223679","-51,34835","65,77982","71,75686"
Faxinal do Soturno,4308003,"-29,57433","-53,439065","46,51163","79,91597"
Faxinalzinho,4308052,"-27,425416","-52,670591","83,91304","27,30647"
Fazenda Vilanova,4308078,"-29,588575","-51,821183","62,45614","68,62081"
Feliz,4308102,"-29,453971","-51,310102","62,7907","76,41015"
Flores da Cunha,4308201,"-29,031142","-51,182221","65,45126","76,7173"
Floriano Peixoto,4308250,"-27,862509","-52,085607","75,83333","56,53643"
Fontoura Xavier,4308300,"-28,982168","-52,344953","26,03175","89,50274"
Formigueiro,4308409,"-29,997634","-53,500294","57,14286","57,71679"
Forquetinha,4308433,"-29,380634","-52,096917","82,63158","58,98671"
Fortaleza dos Valos,4308458,"-28,787883","-53,235523","79,35484","85,66343"
Frederico Westphalen,4308508,"-27,358882","-53,400777","49,81481","68,60017"
Garibaldi,4308607,"-29,254549","-51,529548","61,46825","70,76975"
Garruchos,4308656,"-28,189477","-55,634072","50,90909","55,47396"
Gaurama,4308706,"-27,583858","-52,100138","69,59184","78,61213"
General Câmara,4308805,"-29,902984","-51,763431","62,45255","65,86882"
Gentil,4308854,"-28,433848","-52,034524","58,23529","92,75988"
Getúlio Vargas,4308904,"-27,875912","-52,249574","74,67532","76,29248"
Giruá,4309001,"-28,029744","-54,35084","59,79798","76,69066"
Glorinha,4309050,"-29,877134","-50,786207","62,68817","57,732"
Gramado,4309100,"-29,379738","-50,871946","67,65116","63,38873"
Gramado dos Loureiros,4309126,"-27,444385","-52,918218","62,45255","65,86882"
Gramado Xavier,4309159,"-29,269936","-52,577838","62,45255","65,86882"
Gravataí,4309209,"-29,945519","-50,990793","51,78434","60,84184"
Guabiju,4309258,"-28,540672","-51,691047","79,375","79,375"
Guaíba,4309308,"-30,108602","-51,314684","47,9614","52,15899"
Guaporé,4309407,"-28,849134","-51,890651","71,22093","71,22093"
Guarani das Missões,4309506,"-28,141779","-54,560556","54,31373","44,22366"
Harmonia,4309555,"-29,549049","-51,41404","77,36842","49,78499"
Herval,4307104,"-32,026744","-53,394338","47,07317","54,79321"
Herveiras,4309571,"-29,457044","-52,650171","22,22222","80,95147"
Horizontina,4309605,"-27,630097","-54,308792","63,17949","79,9362"
Hulha Negra,4309654,"-31,405098","-53,867825","71,5873","41,5511"
Humaitá,4309704,"-27,56149","-53,976506","66,88889","57,55358"
Ibarama,4309753,"-29,420744","-53,1332","81,33333","50,6142"
Ibiaçá,4309803,"-28,04885","-51,857252","71,5625","78,25021"
Ibiraiaras,4309902,"-28,369227","-51,635324","56,78571","82,7189"
Ibirapuitã,4309951,"-28,61502","-52,519386","61,36364","80,39258"
Ibirubá,4310009,"-28,627608","-53,088354","48,35443","86,25261"
Igrejinha,4310108,"-29,57222","-50,798711","65,93939","74,29155"
Ijuí,4310207,"-28,388537","-53,918067","65,10081","75,21355"
Ilópolis,4310306,"-28,929153","-52,122157","87,87879","45,69357"
Imbé,4310330,"-29,974778","-50,13058","49,05956","59,78601"
Imigrante,4310363,"-29,352158","-51,770191","59,42857","69,61971"
Independência,4310405,"-27,847332","-54,188108","62,14286","73,07397"
Inhacorá,4310413,"-27,880454","-54,012546","76,07143","55,79085"
Ipê,4310439,"-28,818328","-51,27991",63,"78,65365"
Ipiranga do Sul,4310462,"-27,935984","-52,425061","77,61905","88,86621"
Iraí,4310504,"-27,192282","-53,264296",65,"81,05057"
Itaara,4310538,"-29,602888","-53,757849","51,25","61,8368"
Itacurubi,4310553,"-28,802205","-55,232723","41,6129","82,70267"
